model_name,mrr@1,mrr@3,mrr@5,mrr@10,mrr@20,mrr@50,mrr@100,recall@1,recall@3,recall@5,recall@10,recall@20,recall@50,recall@100,precision@1,precision@3,precision@5,precision@10,precision@20,precision@50,precision@100,avg_latency_sec,embedder,source,database,use_first_chunk_only,chunk_size,overlap,num_docs,num_chunks,experiment_time,docs_load_time_sec,embedder_load_time_sec,prompt_mode,estimated_cost_usd,actual_cost_usd,estimated_tokens,doc_tokens_est,query_tokens_est,cpu_time_sec,gpu_time_sec,max_gpu_memory_allocated_mb,max_gpu_memory_reserved_mb,distance_metric
Qwen/Qwen3-Embedding-4B,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9176245210727969,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.8888888888888888,0.7777777777777778,0.6777777777777777,0.5222222222222223,0.34166666666666656,0.17000000000000004,0.09944444444444445,0.07293834855469565,qwen3-4b,local,/tmp/chroma_5872174_qwen3-4b,False,1024,0,20,217,285.3718914985657,16.55993151664734,264.8043270111084,custom,none,none,none,none,none,94.49297622099999,282.77353125,12137.5947265625,15432.0,cosine
Qwen/Qwen3-Embedding-4B,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8950617283950617,0.8950617283950617,0.8950617283950617,0.8950617283950617,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.8333333333333334,0.8518518518518517,0.8111111111111111,0.7555555555555555,0.6472222222222223,0.4177777777777778,0.2605555555555556,0.0689599990275585,qwen3-4b,local,/tmp/chroma_5872177_qwen3-4b,False,256,0,20,842,27.664453983306885,15.931072473526001,8.13835096359253,custom,none,none,none,none,none,41.81254637399999,25.35412109375,8985.3271484375,10354.0,cosine
Qwen/Qwen3-Embedding-4B,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8903133903133903,0.8903133903133903,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,0.8333333333333334,0.8518518518518517,0.788888888888889,0.6666666666666666,0.49444444444444446,0.27888888888888885,0.16611111111111113,0.06748889728138845,qwen3-4b,local,/tmp/chroma_5872176_qwen3-4b,False,512,0,20,425,283.01342248916626,15.40420937538147,264.0719063282013,custom,none,none,none,none,none,92.87224550500001,280.73853125,10037.4072265625,12524.0,cosine
Qwen/Qwen3-Embedding-8B,0.8333333333333334,0.8796296296296295,0.8796296296296295,0.8796296296296295,0.8796296296296295,0.8814814814814815,0.8814814814814815,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,0.8333333333333334,0.8148148148148148,0.7111111111111111,0.5222222222222223,0.3499999999999999,0.17555555555555558,0.10222222222222221,0.07464871814267503,qwen3,local,/tmp/chroma_5872175_qwen3,False,1024,0,20,217,526.8133566379547,23.995066165924072,498.1370599269867,custom,none,none,none,none,none,182.08157209,523.66446875,19425.3271484375,23156.0,cosine
